year,HI,AK,FL,SC,GA,AL,NC,TN,RI,CT,MA,ME,NH,VT,NY,NJ,PA,DE,MD,WV,KY,OH,MI,WY,MT,ID,WA,DC,TX,CA,AZ,NV,UT,CO,NM,OR,ND,SD,NE,IA,MS,IN,IL,MN,WI,MO,AR,OK,KS,LS,VA
2002,1889600,1377767,18538739,5618192,13038876,5126856,9699590,5761488,1626174,6528727,11127420,1960101,1819692,1071806,35583142,17470524,17732415,1148504,8424902,2413226,4619640,17429386,17389213,907133,1161357,1624222,8230307,1138126,32674518,53033838,6162807,2587653,2864029,5816321,2536677,4733909,806397,927296,2472198,4043822,3026191,9034867,18562363,7811595,8544145,7396980,3135823,4365085,3815283,5227536,9761048
2003,2078877,1425948,19546222,5701083,13520958,5193757,9905507,5969796,1720078,6837485,11484596,2076759,1954108,1123632,37863254,19132349,18846288,1207700,8694495,2497391,4870361,17779927,17764257,960672,1196693,1684885,8543056,1114061,35009477,57969123,6485483,2774124,2874773,6261907,2624302,4579435,840387,962569,2545302,4218183,3256835,8000462,19075736,8228759,8832313,7558822,3228309,4425779,4065481,5476441,10327826
2004,2138137,1475845,21619764,5953560,14131925,5354112,10567443,6320567,1828028,7148655,11861621,2136524,2114051,1177426,40647204,20695513,20053897,1292898,9116413,2578137,5133832,18548600,17941204,972598,1262853,1732956,8766858,1081501,35920839,58289377,7087196,3065003,2992945,6482070,2855403,5044857,883761,1003888,2670098,4231380,3477313,10177133,20480187,8432341,9065090,7826182,3373023,4621026,4376497,5711297,10967124
2005,2274166,1599350,23211945,6326643,14717956,5888114,11096985,6777927,1893659,7760295,12868058,2231715,2241399,1250167,43756488,22302901,21519566,1379461,9898741,2693117,5442926,19359731,18272891,1130411,1285070,1795287,9118935,1109605,37649719,60212912,7480905,3375884,3177411,6861449,2982384,4977525,924269,1050217,2828911,4459697,3633287,11389306,20986887,8499167,9449945,8276004,3964222,4891247,4222207,5972166,11983648
2006,2705532,1625138,25418734,6741029,16157870,6362217,11708667,7164914,1993380,8287208,14042262,2285272,2362887,1323136,46826867,23107783,22772190,1503177,10689764,2806752,5999705,20534909,18845848,1148354,1365225,1874662,9655800,1092863,40988805,64206902,8061138,3688834,3377212,7237022,3083986,5382038,963559,1083723,3016840,4724109,4269711,11317028,22093022,9006444,9704331,8778294,4234383,5119239,4646910,6778539,12952183
2007,2985593,1800585,28893216,7119886,17747052,7067527,13061906,7587598,2088045,8757951,14461309,2439959,2501325,1408652,50564902,24503137,24203543,1643500,11667856,2897559,6224684,21682794,19655056,1475492,1464229,2011147,10326993,1148358,44220225,70076641,8684961,4003147,3651867,7635777,3272636,5612538,1001831,1133713,3128888,5006037,4211599,10184046,23500552,9459717,10037863,8840790,4402548,5490635,5036136,7021880,13856709
2008,2541703,2188537,29995680,7727384,18674273,7724467,13610326,8054383,2161829,9151770,14518653,2522457,2613709,1457977,52943285,25114239,25256267,1647893,13091382,2965589,6635330,22165968,19507229,1600390,1552498,2150689,11106719,1224312,46101861,72091820,9187024,4337482,4194845,8012467,3569002,6060469,1062276,1187872,3306802,5297744,4438286,11065253,24744485,9897143,10427207,9262878,4589865,5779189,5376603,7694221,14535889
2009,2689758,2158835,26487591,7656698,17968445,7184885,15410562,8081576,2166937,9501924,15170426,2551991,2716562,1507266,55677184,25651702,25473158,1674367,13141453,3096506,6705234,22150278,18647707,1673170,1595318,2181398,11925646,801008,47930801,71453144,8719722,4441108,4234810,8262667,3703462,6104185,1104033,1255234,3446377,5527244,4380745,12710067,26371090,10170640,10781347,9396217,4732685,6028778,5613161,7931699,15000778
2010,2564856,2230140,26223878,7742335,17835820,7279751,16621268,8371308,2193345,9544243,14783250,2668585,2803441,1572132,55244109,25785093,26432628,1695556,13321816,3176039,6880616,22592809,18408579,1715195,1609439,2177156,11830765,1195934,50391053,64981631,8733504,4261391,4246006,8741450,3638592,6171946,1260887,1289528,3643592,5533487,4454915,13722748,27530500,10224729,11049388,9508380,5049424,5777769,5452260,8038981,14693082
2011,2499513,2357828,26446473,7761414,18027907,7375156,14409515,8645594,2198504,9588416,15255880,2596753,2845195,1506288,57536081,25306154,27043817,1711831,13439078,3464575,7103316,22787387,18409697,1646865,1618205,2089170,11816324,1283071,50856161,68589875,8335541,4145291,4136281,8699604,3591323,6062018,1262676,1295143,3801928,5876820,4507702,11853770,28695030,10756413,11405841,9842940,5156817,5833144,5537274,7981173,14418028
2012,2535038,2383402,24131880,7875144,17556060,7135105,12788659,8948633,2194831,9867251,15621093,2555729,2862014,1572228,58757633,26616365,26455893,1815111,13748192,3958439,7191188,22035362,17671139,1660037,1612365,1981212,11867897,1331006,49815063,66568626,7869244,4052404,4213226,8570286,3478709,6075478,1304100,1296353,3691601,6037366,4466518,12142555,29153117,10526813,10862147,9949576,5151611,5823118,5612118,8449930,14692768
